c s2M s2V K m u N T kf km
0.1 0.1 0.01 100 0 0.1 1000 7000 0.497 0.0082
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4987 0.0149
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4988 0.0115
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4992 0.0049
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4994 0.0044
0.1 0.1 0.01 100 0 0.1 1000 9500 0.4994 0.0098
0.1 0.1 0.01 100 0 0.1 1000 10000 0.4985 0.0237
0.1 0.1 0.01 100 0 0.1 1000 500 0.4068 0.1666
0.1 0.1 0.01 100 0 0.1 1000 1000 0.4713 0.0865
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4529 0.04
0.1 0.1 0.01 100 0 0.1 1000 2000 0.477 0.024
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4859 0.0202
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4825 0.0114
0.1 0.1 0.01 100 0 0.1 1000 3500 0.4956 0.0027
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4978 0.0003
